cfw5vb6i8ytres,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0000044,short,Le bivouac,Le bivouac,0,1896,\N,1,Short,4.1,42
tt0000045,short,Les blanchisseuses,Les blanchisseuses,0,1896,\N,\N,Short,4.1,31
tt0000046,short,Bois de Boulogne,Bois de Boulogne,0,1896,\N,\N,"Documentary,Short",4,34
tt0000047,short,Boulevard des Italiens,Boulevard des Italiens,0,1896,\N,\N,"Documentary,Short",3.7,33
tt0000048,short,The Boxing Kangaroo,The Boxing Kangaroo,0,1896,\N,\N,Short,4.9,182
tt0000049,short,"Boxing Match; or, Glove Contest","Boxing Match; or, Glove Contest",0,1896,\N,\N,"Short,Sport",5.1,46
tt0000050,short,Bébé et fillettes,Bébé et fillettes,0,1896,\N,\N,"Documentary,Short",4.1,34
tt0000051,short,The Bohemian Encampment,Campement de bohémiens,0,1896,\N,\N,"Documentary,Short",3.8,33
tt0000052,short,Carga de rurales,Carga de rurales,0,1896,\N,1,"Documentary,Short",4.4,93
tt0000053,short,A Chegada do Comboio Inaugural à Estação Central do Porto,A Chegada do Comboio Inaugural à Estação Central do Porto,0,1897,\N,\N,"Documentary,Short",2.9,17
tt0000054,short,A Merry-Go-Round,Les chevaux de bois,0,1896,\N,\N,Short,4.9,33
tt0000055,short,Le chiffonnier,Le chiffonnier,0,1896,\N,\N,Short,3.8,29
tt0000056,short,Uma Corrida de Touros no Campo Pequeno,Uma Corrida de Touros no Campo Pequeno,0,1896,\N,\N,Short,3.2,21
tt0000057,short,Cortège de tzar allant à Versailles,Cortège de tzar allant à Versailles,0,1896,\N,\N,"Documentary,Short",4.6,32
tt0000058,short,Cortège de tzar au Bois de Boulogne,Cortège de tzar au Bois de Boulogne,0,1896,\N,\N,"Documentary,Short",4.3,31
tt0000059,short,Coronation of a Village Maiden,Couronnement de la rosière,0,1896,\N,\N,Short,3.6,26
tt0000060,short,Dancing Darkies,Dancing Darkies,0,1896,\N,\N,"Documentary,Short",7.5,85
tt0000061,short,Dancing Girls,Dancing Girls,0,1896,\N,\N,Short,4.1,23
tt0000062,short,Danse serpentine,Danse serpentine,0,1896,\N,1,Short,6.4,190
tt0000063,short,Dessinateur express,Dessinateur express,0,1896,\N,\N,Short,3.6,26
tt0000064,short,Dessinateur: Chamberlain,Dessinateur: Chamberlain,0,1896,\N,\N,Short,3.4,27
tt0000065,short,Dessinateur: Reine Victoria,Dessinateur: Reine Victoria,0,1896,\N,\N,Short,3.6,27
tt0000066,short,Dessinateur: Von Bismark,Dessinateur: Von Bismark,0,1896,\N,\N,Short,3.4,27
tt0000067,short,Conjurer Making Ten Hats in Sixty Seconds,Dix chapeaux en 60 secondes,0,1896,\N,\N,"Fantasy,Short",5.7,60
tt0000068,short,Unloading the Boat,Déchargement de bateaux,0,1896,\N,\N,"Documentary,Short",3.9,30
tt0000069,short,Post No Bills,Défense d'afficher,0,1896,\N,1,Short,4.9,430
tt0000070,short,Demolition of a Wall,Démolition d'un mur,0,1896,\N,1,"Documentary,Short",6.4,2553
tt0000071,short,Automobiles Starting a Race,Départ des automobiles,0,1896,\N,\N,"Short,Sport",3.5,28
tt0000072,short,Officers of French Army Leaving Service,Départ des officiers,0,1896,\N,\N,Short,3.8,26
tt0000073,short,Effets de mer sur les rochers,Effets de mer sur les rochers,0,1896,\N,\N,"Documentary,Short",3.6,29
tt0000074,short,Enfants jouant sur la plage,Enfants jouant sur la plage,0,1896,\N,\N,"Documentary,Short",4.7,30
tt0000075,short,The Conjuring of a Woman at the House of Robert Houdin,Escamotage d'une dame au théâtre Robert Houdin,0,1896,\N,1,"Horror,Short",6.3,1822
tt0000076,short,Exit of Rip and the Dwarf,Exit of Rip and the Dwarf,0,1896,\N,1,"Drama,Short",4.5,511
tt0000077,short,"Le fakir, mystère indien","Le fakir, mystère indien",0,1896,\N,\N,Short,4.6,33
tt0000078,short,Feira de Gado na Corujeira,Feira de Gado na Corujeira,0,1896,\N,1,"Documentary,Short",3.8,72
tt0000079,short,La gare Saint-Lazare,La gare Saint-Lazare,0,1896,\N,\N,"Documentary,Short",4.4,34
tt0000080,short,Grandes manoeuvres,Grandes manoeuvres,0,1896,\N,\N,"Documentary,Short",4.1,30
tt0000081,short,Towing a Boat on the River,Les haleurs de bateaux,0,1896,\N,\N,"Documentary,Short",4.2,31
tt0000082,short,A Hard Wash,A Hard Wash,0,1896,\N,\N,"Comedy,Short",4.8,46
tt0000083,short,Les indiscrets,Les indiscrets,0,1896,\N,\N,Short,4.7,31
tt0000084,short,Les ivrognes,Les ivrognes,0,1896,\N,\N,Short,4.5,29
tt0000085,short,Gardener Burning Weeds,Jardinier brûlant des herbes,0,1896,\N,\N,Short,4.7,31
tt0000086,short,"Beach and Pier at Trouville, 1st part",Jetée et plage de Trouville (1er partie),0,1896,\N,\N,"Documentary,Short",4.3,32
tt0000087,short,"Beach and Pier at Trouville, 2nd part",Jetée et plage de Trouville (2e partie),0,1896,\N,\N,"Documentary,Short",4.7,36
tt0000088,short,Market Day,Jour de marché à Trouville,0,1896,\N,\N,"Documentary,Short",4.3,31
tt0000089,short,Leaving Jerusalem by Railway,Départ de Jérusalem en chemin de fer,0,1897,\N,1,"Documentary,Short",6.2,962
tt0000090,short,Libération des territoriaux,Libération des territoriaux,0,1896,\N,\N,"Documentary,Short",4.1,30
tt0000091,short,The House of the Devil,Le manoir du diable,0,1896,\N,3,"Horror,Short",6.7,3387
tt0000092,short,Marée montante sur Brise-Larmes,Marée montante sur Brise-Larmes,0,1896,\N,\N,"Documentary,Short",4.7,28
tt0000093,short,Melbourne,Melbourne,0,1896,\N,\N,"Documentary,Short",4.8,89
tt0000094,short,Miss de Vere,Miss de Vere,0,1896,\N,\N,Short,4.8,31
tt0000095,short,The Mysterious Paper,Le papier protée,0,1896,\N,\N,Short,4.8,33
tt0000096,short,Place Saint-Augustin,Place Saint-Augustin,0,1896,\N,\N,"Documentary,Short",4.5,28
tt0000097,short,"Place de l'Opéra, First View","Place de l'Opéra, 1er aspect",0,1896,\N,\N,"Documentary,Short",5,32
tt0000098,short,"Place de l'Opéra, Second View","Place de l'Opéra, 2e aspect",0,1896,\N,\N,"Documentary,Short",5.1,35
tt0000099,short,Place de la Bastille,Place de la Bastille,0,1896,\N,\N,"Documentary,Short",4.7,31
tt0000100,short,Place de la Concorde,Place de la Concorde,0,1896,\N,\N,"Documentary,Short",4.7,51
tt0000101,short,Place du théâtre français,Place du théâtre français,0,1896,\N,\N,"Documentary,Short",4.7,27
